reclamo_ano,reclamo_mes_nro,reclamo_mes_nombre,reclamo_prestadora,reclamo_provincia,reclamo_grupo,reclamo_via_ingreso,reclamo_resolucion,reclamo_cantidad
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,CORREO POSTAL,Improcedente,2
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,ENARGAS,Procedente,4
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,ENARGAS,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,ENARGAS,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,ENARGAS,Improcedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,11
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,20
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,17
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,13
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,3
2020,1,Enero,Camuzzi Gas del Sur S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,3
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,5
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,31
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,21
2020,1,Enero,Camuzzi Gas del Sur S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,2
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,24
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,16
2020,1,Enero,Camuzzi Gas del Sur S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Procedente,11
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Procedente,34
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Procedente,141
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Procedente,96
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Procedente,33
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Procedente,120
2020,1,Enero,Camuzzi Gas del Sur S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Improcedente,4
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Improcedente,138
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Improcedente,97
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Improcedente,189
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Improcedente,173
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Improcedente,65
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,III - GESTION DE PRESTACIONES,CORREO POSTAL,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,III - GESTION DE PRESTACIONES,CORREO POSTAL,Improcedente,2
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,III - GESTION DE PRESTACIONES,CORREO POSTAL,Improcedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,III - GESTION DE PRESTACIONES,CORREO POSTAL,Improcedente,2
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,III - GESTION DE PRESTACIONES,CORREO POSTAL,Improcedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,III - GESTION DE PRESTACIONES,ENARGAS,Procedente,2
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,III - GESTION DE PRESTACIONES,ENARGAS,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,III - GESTION DE PRESTACIONES,ENARGAS,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,III - GESTION DE PRESTACIONES,ENARGAS,Improcedente,4
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,III - GESTION DE PRESTACIONES,ENARGAS,Improcedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,III - GESTION DE PRESTACIONES,ENARGAS,Improcedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,III - GESTION DE PRESTACIONES,ENARGAS,Improcedente,2
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,III - GESTION DE PRESTACIONES,LIBRO DE QUEJA,Improcedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,III - GESTION DE PRESTACIONES,PERSONAL,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,III - GESTION DE PRESTACIONES,PERSONAL,Improcedente,14
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,III - GESTION DE PRESTACIONES,PERSONAL,Improcedente,2
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,III - GESTION DE PRESTACIONES,PERSONAL,Improcedente,4
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,III - GESTION DE PRESTACIONES,TELEFONICO,Procedente,16
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,III - GESTION DE PRESTACIONES,TELEFONICO,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,III - GESTION DE PRESTACIONES,TELEFONICO,Procedente,14
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,III - GESTION DE PRESTACIONES,TELEFONICO,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,III - GESTION DE PRESTACIONES,TELEFONICO,Procedente,6
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,III - GESTION DE PRESTACIONES,TELEFONICO,Improcedente,119
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,III - GESTION DE PRESTACIONES,TELEFONICO,Improcedente,105
2020,1,Enero,Camuzzi Gas del Sur S.A.,Buenos Aires,III - GESTION DE PRESTACIONES,TELEFONICO,Improcedente,11
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,III - GESTION DE PRESTACIONES,TELEFONICO,Improcedente,174
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,III - GESTION DE PRESTACIONES,TELEFONICO,Improcedente,26
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,III - GESTION DE PRESTACIONES,TELEFONICO,Improcedente,46
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Procedente,2
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Procedente,54
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Improcedente,77
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Improcedente,3
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Procedente,14
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Procedente,1
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Improcedente,39
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Improcedente,1
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,LIBRO DE QUEJA,Procedente,2
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,LIBRO DE QUEJA,Improcedente,5
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,10
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,232
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,601
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,3
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,904
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,51
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,5898
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,184
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,CORREO POSTAL,Procedente,2
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,CORREO POSTAL,Improcedente,2
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,ENARGAS,Procedente,2
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,ENARGAS,Procedente,3
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,ENARGAS,Improcedente,5
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,ENARGAS,Improcedente,13
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,10
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,73
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,81
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,10
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Procedente,99
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Procedente,585
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Improcedente,1172
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,TELEFONICO,Improcedente,141
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,III - GESTION DE PRESTACIONES,CORREO POSTAL,Procedente,4
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,III - GESTION DE PRESTACIONES,CORREO POSTAL,Improcedente,31
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,III - GESTION DE PRESTACIONES,CORREO POSTAL,Improcedente,1
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,III - GESTION DE PRESTACIONES,ENARGAS,Improcedente,11
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,III - GESTION DE PRESTACIONES,LIBRO DE QUEJA,Improcedente,10
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,III - GESTION DE PRESTACIONES,PERSONAL,Procedente,10
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,III - GESTION DE PRESTACIONES,PERSONAL,Improcedente,2
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,III - GESTION DE PRESTACIONES,PERSONAL,Improcedente,29
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,III - GESTION DE PRESTACIONES,TELEFONICO,Procedente,3
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,III - GESTION DE PRESTACIONES,TELEFONICO,Procedente,88
2020,1,Enero,Camuzzi Gas Pampeana S.A.,Buenos Aires,III - GESTION DE PRESTACIONES,TELEFONICO,Improcedente,1571
2020,1,Enero,Camuzzi Gas Pampeana S.A.,La Pampa,III - GESTION DE PRESTACIONES,TELEFONICO,Improcedente,170
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,CORREO ELECTRONICO,Improcedente,3
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Luis,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Procedente,1
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Procedente,4
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Procedente,3
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Improcedente,7
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Improcedente,16
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Procedente,7
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Procedente,21
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Improcedente,12
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Improcedente,6
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,LIBRO DE QUEJA,Procedente,1
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,LIBRO DE QUEJA,Improcedente,5
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,I - FACTURACION Y GESTION DE DEUDAS,LIBRO DE QUEJA,Improcedente,1
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Luis,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,7
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,36
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,50
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,49
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Luis,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,5
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,141
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,193
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,25
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Luis,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,13
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,37
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Luis,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,19
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,245
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,CORREO ELECTRONICO,Procedente,2
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Luis,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,CORREO ELECTRONICO,Improcedente,1
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,CORREO POSTAL,Improcedente,1
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,ENARGAS,Improcedente,1
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Luis,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,5
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,11
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Procedente,21
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,38
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Luis,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,4
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,PERSONAL,Improcedente,28
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,Mendoza,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,SITIO WEB,Improcedente,3
2020,1,Enero,Distribuidora de Gas Cuyana S.A.,San Juan,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,SITIO WEB,Improcedente,2
